1,62,239
1,88,224
1,67,185
1,48,167
3,196,26
0,207,236
0,197,252
2,89,48
3,188,16
3,199,99
0,223,169
2,49,30
2,64,68
0,226,224
2,75,13
0,213,184
3,192,93
1,98,208
0,190,218
3,206,75
2,89,36
0,203,170
0,179,230
1,39,215
1,62,195
2,85,36
1,50,214
1,85,177
3,210,48
1,51,229
0,210,176
2,17,37
1,64,194
0,197,164
2,55,20
3,238,37
0,199,168
3,196,21
2,81,51
1,71,211
2,50,35
2,11,50
1,16,192
1,35,206
0,175,204
2,33,43
2,25,52
0,194,233
1,41,154
1,73,183
1,68,193
0,223,188
3,219,15
3,213,73
2,29,56
2,21,83
0,164,214
3,179,25
1,69,183
1,53,182
3,201,60
2,56,59
0,186,187
0,231,215
1,92,219
2,31,43
0,202,244
2,52,75
3,230,40
2,52,59
2,26,84
1,60,165
2,58,14
2,60,101
0,224,207
0,207,213
2,58,98
0,165,193
1,26,204
3,205,113
1,16,208
3,192,78
1,54,212
0,179,208
3,183,89
3,199,67
3,172,27
3,184,45
2,53,109
1,55,233
2,71,71
1,71,167
2,62,18
3,203,82
1,17,199
0,226,186
0,250,196
1,47,182
0,225,175
1,52,235
1,53,196
0,204,189
2,49,10
3,159,33
0,207,187
2,34,71
0,223,173
3,214,50
3,212,107
2,15,74
1,51,194
2,41,69
2,36,95
1,23,195
3,201,75
3,225,39
0,185,180
1,75,187
3,201,63
3,231,65
3,206,110
3,220,64
2,74,11
3,190,20
1,43,193
3,227,92
3,221,56
2,79,62
2,96,66
0,174,213
2,47,61
1,36,159
2,58,56
0,168,215
2,70,34
1,24,190
0,203,155
0,201,155
2,100,45
2,47,59
1,77,181
3,168,50
0,193,198
2,93,39
3,215,88
1,54,239
2,51,96
0,177,236
1,42,175
1,68,189
3,160,34
1,54,181
0,244,202
2,106,52
3,245,68
1,70,168
2,22,51
0,147,206
0,210,236
1,83,178
3,198,10
3,159,59
2,78,64
3,190,17
2,53,89
1,99,193
0,187,202
0,209,158
0,155,190
3,155,63
3,195,44
3,164,39
0,206,152
3,214,80
0,209,234
1,22,174
0,237,195
1,69,200
3,189,26
0,181,198
0,172,234
3,211,36
1,32,217
1,93,191
2,56,47
1,28,170
3,180,29
3,197,104
3,183,36
3,188,95
0,186,169
2,95,61
0,182,196
3,232,35
3,213,59
3,222,27
3,215,19
3,207,108
1,76,221
0,198,175
2,68,46
3,212,64
1,64,157
2,44,75
3,190,89
3,206,16
1,24,195
0,157,211
3,198,89
2,104,54
3,181,22
1,99,199
3,225,54
1,55,245
3,237,69
2,104,49
2,19,79
0,209,202
1,87,191
